01002     003863      4     A
01005     000120      2     Z
01001     001456      2     Z
01005     000121      3     B
01044     002381      1     B
01088     000000      6     C
01019     002913      2     A
01008     002513      1     Z
01023     000125      4     D
01003     003576      1     Z
01005     000121      2     Z
01088     002315      1     C
01005     000155      9     Z
01001     003101      1     Z
01015     002442      1     C
01008     001578      6     E
01001     000155      8     Z
01004     000120      5     Z
01005     002638      1     A
01015     003575      1     Z
01019     001345      2     E
